#Theta He10 He15 diff
48.6 -1.2209241 -1.0588349 -0.162089
48.7 -1.3525793 -1.1889358 -0.163643
48.8 -1.4787467 -1.3135764 -0.16517
48.9 -1.5993750 -1.4327057 -0.166669
49.0 -1.7144157 -1.5462755 -0.16814
49.1 -1.8238234 -1.6542407 -0.169583
49.2 -1.9275555 -1.7565592 -0.170996
49.3 -2.0255728 -1.8531919 -0.172381
49.4 -2.1178390 -1.9441028 -0.173736
49.5 -2.2043209 -2.0292590 -0.175062
49.6 -2.2849883 -2.1086306 -0.176358
49.7 -2.3598142 -2.1821908 -0.177623
49.8 -2.4287747 -2.2499161 -0.178859
49.9 -2.4918491 -2.3117858 -0.180063
50.0 -2.5490197 -2.3677825 -0.181237
50.1 -2.6002719 -2.4178918 -0.18238
50.2 -2.6455945 -2.4621027 -0.183492
50.3 -2.6849791 -2.5004070 -0.184572
50.4 -2.7184207 -2.5327998 -0.185621
50.5 -2.7459172 -2.5592792 -0.186638
50.6 -2.7674699 -2.5798466 -0.187623
50.7 -2.7830829 -2.5945063 -0.188577
50.8 -2.7927638 -2.6032658 -0.189498
50.9 -2.7965229 -2.6061357 -0.190387
51.0 -2.7943738 -2.6031298 -0.191244
51.1 -2.7863334 -2.5942646 -0.192069
51.2 -2.7724212 -2.5795602 -0.192861
51.3 -2.7526602 -2.5590393 -0.193621
51.4 -2.7270762 -2.5327278 -0.194348
51.5 -2.6956980 -2.5006546 -0.195043
51.6 -2.6585575 -2.4628515 -0.195706
51.7 -2.6156896 -2.4193534 -0.196336
51.8 -2.5671321 -2.3701982 -0.196934
51.9 -2.5129258 -2.3154265 -0.197499
52.0 -2.4531143 -2.2550819 -0.198032
52.1 -2.3877440 -2.1892109 -0.198533
52.2 -2.3168645 -2.1178628 -0.199002
52.3 -2.2405280 -2.0410897 -0.199438
52.4 -2.1587894 -1.9589465 -0.199843
52.5 -2.0717064 -1.8714909 -0.200216
52.6 -1.9793397 -1.7787832 -0.200557
52.7 -1.8817522 -1.6808864 -0.200866
