#jbar theta B
3 64.1 216.4960522
3 64.2 215.5184015
3 64.3 214.5423532
3 64.4 213.5679167
3 64.5 212.5951008
3 64.6 211.6239148
3 64.7 210.6543676
3 64.8 209.6864682
3 64.9 208.7202257
3 65.0 207.7556490
3 65.1 206.7927471
3 65.2 205.8315289
3 65.3 204.8720033
3 65.4 203.9141792
3 65.5 202.9580654
3 65.6 202.0036709
3 65.7 201.0510043
3 65.8 200.1000745
3 65.9 199.1508903
3 66.0 198.2034604
3 66.1 197.2577935
3 66.2 196.3138983
3 66.3 195.3717836
3 66.4 194.4314578
3 66.5 193.4929298
3 66.6 192.5562080
3 66.7 191.6213010
3 66.8 190.6882174
3 66.9 189.7569658
3 67.0 188.8275545
3 67.1 187.8999922
3 67.2 186.9742873
3 67.3 186.0504481
3 67.4 185.1284831
3 67.5 184.2084007
3 67.6 183.2902092
3 67.7 182.3739169
3 67.8 181.4595323
3 67.9 180.5470634
3 68.0 179.6365187
3 68.1 178.7279062
3 68.2 177.8212343
3 68.3 176.9165111
3 68.4 176.0137448
3 68.5 175.1129434
3 68.6 174.2141151
3 68.7 173.3172679
3 68.8 172.4224100
3 68.9 171.5295492
3 69.0 170.6386937
3 69.1 169.7498513
3 69.2 168.8630301
3 69.3 167.9782379
3 69.4 167.0954826
3 69.5 166.2147722
3 69.6 165.3361143
3 69.7 164.4595169
3 69.8 163.5849877
3 69.9 162.7125344
3 70.0 161.8421649
3 70.1 160.9738867
3 70.2 160.1077076
3 70.3 159.2436353
3 70.4 158.3816772
3 70.5 157.5218411
3 70.6 156.6641344
3 70.7 155.8085648
3 70.8 154.9551397
3 70.9 154.1038666
3 71.0 153.2547529
3 71.1 152.4078062
3 71.2 151.5630337
3 71.3 150.7204428
3 71.4 149.8800409
3 71.5 149.0418353
3 71.6 148.2058332
3 71.7 147.3720420
3 71.8 146.5404688
3 71.9 145.7111209
3 72.0 144.8840054
3 72.1 144.0591294
3 72.2 143.2365000
3 72.3 142.4161244
3 72.4 141.5980095
3 72.5 140.7821625
3 72.6 139.9685903
3 72.7 139.1572998
3 72.8 138.3482980
3 72.9 137.5415918
3 73.0 136.7371880
3 73.1 135.9350936
3 73.2 135.1353153
3 73.3 134.3378599
3 73.4 133.5427342
3 73.5 132.7499449
3 73.6 131.9594986
3 73.7 131.1714021
3 73.8 130.3856620
3 73.9 129.6022849
3 74.0 128.8212774
3 74.1 128.0426460
3 74.2 127.2663972
3 74.3 126.4925375
3 74.4 125.7210733
3 74.5 124.9520112
3 74.6 124.1853574
3 74.7 123.4211184
3 74.8 122.6593004
3 74.9 121.8999098
3 75.0 121.1429528
3 75.1 120.3884357
3 75.2 119.6363646
3 75.3 118.8867458
3 75.4 118.1395854
3 75.5 117.3948895
3 75.6 116.6526641
3 75.7 115.9129154
3 75.8 115.1756494
3 75.9 114.4408720
3 76.0 113.7085891
3 76.1 112.9788068
3 76.2 112.2515309
3 76.3 111.5267672
3 76.4 110.8045216
3 76.5 110.0847999
3 76.6 109.3676079
3 76.7 108.6529512
3 76.8 107.9408356
3 76.9 107.2312667
3 77.0 106.5242502
3 77.1 105.8197917
3 77.2 105.1178968
3 77.3 104.4185709
3 77.4 103.7218196
3 77.5 103.0276483
3 77.6 102.3360626
3 77.7 101.6470677
3 77.8 100.9606692
3 77.9 100.2768722
3 78.0 99.5956822
3 78.1 98.9171044
3 78.2 98.2411441
3 78.3 97.5678064
3 78.4 96.8970965
3 78.5 96.2290196
3 78.6 95.5635808
3 78.7 94.9007851
3 78.8 94.2406377
3 78.9 93.5831435
3 79.0 92.9283074
3 79.1 92.2761345
3 79.2 91.6266297
3 79.3 90.9797978
3 79.4 90.3356436
3 79.5 89.6941720
3 79.6 89.0553878
3 79.7 88.4192957
3 79.8 87.7859003
3 79.9 87.1552065
3 80.0 86.5272188
3 80.1 85.9019417
3 80.2 85.2793800
3 80.3 84.6595381
3 80.4 84.0424206
3 80.5 83.4280319
3 80.6 82.8163764
3 80.7 82.2074585
3 80.8 81.6012827
3 80.9 80.9978532
3 81.0 80.3971744
3 81.1 79.7992505
3 81.2 79.2040857
3 81.3 78.6116842
3 81.4 78.0220503
3 81.5 77.4351880
3 81.6 76.8511014
3 81.7 76.2697946
3 81.8 75.6912716
3 81.9 75.1155364
3 82.0 74.5425929
3 82.1 73.9724451
3 82.2 73.4050968
3 82.3 72.8405519
3 82.4 72.2788142
3 82.5 71.7198876
3 82.6 71.1637756
3 82.7 70.6104821
3 82.8 70.0600107
3 82.9 69.5123651
3 83.0 68.9675488
3 83.1 68.4255654
3 83.2 67.8864186
3 83.3 67.3501116
3 83.4 66.8166481
3 83.5 66.2860315
3 83.6 65.7582651
3 83.7 65.2333523
3 83.8 64.7112964
3 83.9 64.1921007
3 84.0 63.6757685
3 84.1 63.1623030
3 84.2 62.6517074
3 84.3 62.1439847
3 84.4 61.6391382
3 84.5 61.1371708
3 84.6 60.6380857
3 84.7 60.1418858
3 84.8 59.6485741
3 84.9 59.1581535
3 85.0 58.6706269
3 85.1 58.1859972
3 85.2 57.7042672
3 85.3 57.2254397
3 85.4 56.7495175
3 85.5 56.2765032
3 85.6 55.8063996
3 85.7 55.3392092
3 85.8 54.8749347
3 85.9 54.4135787
3 86.0 53.9551437
3 86.1 53.4996323
3 86.2 53.0470467
3 86.3 52.5973896
3 86.4 52.1506633
3 86.5 51.7068701
3 86.6 51.2660124
3 86.7 50.8280924
3 86.8 50.3931125
3 86.9 49.9610747
3 87.0 49.5319813
3 87.1 49.1058345
3 87.2 48.6826363
3 87.3 48.2623888
3 87.4 47.8450941
3 87.5 47.4307540
3 87.6 47.0193707
3 87.7 46.6109460
3 87.8 46.2054817
3 87.9 45.8029798
3 88.0 45.4034421
3 88.1 45.0068703
3 88.2 44.6132662
3 88.3 44.2226314
3 88.4 43.8349677
3 88.5 43.4502767
3 88.6 43.0685600
3 88.7 42.6898191
3 88.8 42.3140556
3 88.9 41.9412709
3 89.0 41.5714665
3 89.1 41.2046439
3 89.2 40.8408043
3 89.3 40.4799491
3 89.4 40.1220797
3 89.5 39.7671973
3 89.6 39.4153031
3 89.7 39.0663984
3 89.8 38.7204842
3 89.9 38.3775618
3 90.0 38.0376321
3 90.1 37.7006963
3 90.2 37.3667553
3 90.3 37.0358102
3 90.4 36.7078618
3 90.5 36.3829112
3 90.6 36.0609590
3 90.7 35.7420063
3 90.8 35.4260537
3 90.9 35.1131020
3 91.0 34.8031520
3 91.1 34.4962043
3 91.2 34.1922595
3 91.3 33.8913184
3 91.4 33.5933814
3 91.5 33.2984492
3 91.6 33.0065221
3 91.7 32.7176007
3 91.8 32.4316854
3 91.9 32.1487766
3 92.0 31.8688746
3 92.1 31.5919798
3 92.2 31.3180925
3 92.3 31.0472128
3 92.4 30.7793411
3 92.5 30.5144774
3 92.6 30.2526219
3 92.7 29.9937748
3 92.8 29.7379360
3 92.9 29.4851057
3 93.0 29.2352838
3 93.1 28.9884702
3 93.2 28.7446649
3 93.3 28.5038677
3 93.4 28.2660786
